Seq,Letter,Answer,Item,Category,Color,RNum,Num,Date,Count
1,A,No,Gold,Mineral,Indigo,58.4,50,2020-11-29T08:00:00.000Z,1
2,O,So,Hippopotamus,Animal,White,60.86,1,2020-12-01T08:00:00.000Z,1
3,N,False,Gold,Mineral,Violet,71.53,41,2020-12-21T08:00:00.000Z,1
4,X,No,Gold,Mineral,Black,11.87,43,2020-11-27T08:00:00.000Z,1
5,K,So,Hippopotamus,Animal,Indigo,79.03,3,2020-11-24T08:00:00.000Z,1
6,Y,No,Cougar,Animal,Gray,27.12,93,2020-12-16T08:00:00.000Z,1
7,J,False,Moss,Vegetable,Pink,39.76,97,2020-12-11T08:00:00.000Z,1
8,Q,True,Elephant,Animal,Gray,69.46,40,2020-12-18T08:00:00.000Z,1
9,K,No,Algae,Vegetable,Red,90.18,65,2020-12-02T08:00:00.000Z,1
10,H,No,Horse,Animal,Orange,80.86,81,2020-12-18T08:00:00.000Z,1
11,Y,So,Grass,Vegetable,Violet,64.27,47,2020-12-09T08:00:00.000Z,1
12,W,True,Tree,Vegetable,White,60.38,13,2020-12-04T08:00:00.000Z,1
13,W,True,Fern,Vegetable,Green,27.11,82,2020-12-08T08:00:00.000Z,1
14,P,No,Gold,Mineral,Purple,85.87,29,2020-11-28T08:00:00.000Z,1
15,A,True,Cactus,Vegetable,Green,25.87,38,2020-12-05T08:00:00.000Z,1
16,J,False,Giraffe,Animal,Gray,11.06,27,2020-12-10T08:00:00.000Z,1
17,D,No,Jade,Mineral,Violet,84.83,64,2020-12-02T08:00:00.000Z,1
18,V,So,Wolf,Animal,Green,39.89,34,2020-12-13T08:00:00.000Z,1
19,A,False,Silver,Mineral,Indigo,14.72,18,2020-11-28T08:00:00.000Z,1
20,Q,False,Grass,Vegetable,Brown,13.4,68,2020-12-01T08:00:00.000Z,1
21,F,Yes,Antelope,Animal,White,63.24,83,2020-11-26T08:00:00.000Z,1
22,E,Maybe,Tree,Vegetable,Blue,83.39,96,2020-12-02T08:00:00.000Z,1
23,K,Maybe,Ruby,Mineral,Red,43.26,30,2020-12-03T08:00:00.000Z,1
24,W,So,Lead,Mineral,Red,74.12,66,2020-12-22T08:00:00.000Z,1
25,E,False,Moss,Vegetable,Blue,8.22,41,2020-11-30T08:00:00.000Z,1
26,E,True,Tree,Vegetable,Violet,92.18,24,2020-12-03T08:00:00.000Z,1
27,F,Yes,Horse,Animal,Violet,24.4,100,2020-12-07T08:00:00.000Z,1
28,T,No,Moss,Vegetable,Brown,29.62,6,2020-12-03T08:00:00.000Z,1
29,D,True,Gold,Mineral,Red,36.46,89,2020-12-02T08:00:00.000Z,1
30,F,No,Tiger,Animal,Black,94.84,5,2020-12-08T08:00:00.000Z,1
31,G,True,Moss,Vegetable,White,34.71,38,2020-12-22T08:00:00.000Z,1
32,E,Maybe,Flower,Vegetable,Black,7.11,62,2020-11-29T08:00:00.000Z,1
33,R,No,Quartz,Mineral,Green,56.73,75,2020-12-16T08:00:00.000Z,1
34,O,Maybe,Lead,Mineral,Gray,75.69,80,2020-12-04T08:00:00.000Z,1
35,I,So,Eagle,Animal,Violet,54.21,2,2020-12-02T08:00:00.000Z,1
36,D,False,Silver,Mineral,White,45.3,98,2020-12-04T08:00:00.000Z,1
37,A,Yes,Fern,Vegetable,Blue,42.68,66,2020-12-04T08:00:00.000Z,1
38,S,False,Grass,Vegetable,Violet,74.55,69,2020-12-05T08:00:00.000Z,1
39,A,Yes,Silver,Mineral,Black,94.04,43,2020-12-18T08:00:00.000Z,1
40,K,Maybe,Ruby,Mineral,Brown,65.91,28,2020-11-29T08:00:00.000Z,1
41,R,No,Eagle,Animal,Red,69.2,42,2020-12-18T08:00:00.000Z,1
42,L,True,Diamond,Mineral,Violet,73.45,53,2020-12-17T08:00:00.000Z,1
43,X,True,Grass,Vegetable,Blue,53.47,53,2020-12-07T08:00:00.000Z,1
44,U,So,Grass,Vegetable,Gray,25.64,28,2020-12-16T08:00:00.000Z,1
45,B,True,Tree,Vegetable,White,81.01,69,2020-12-22T08:00:00.000Z,1
46,L,True,Lead,Mineral,Green,8.38,87,2020-12-05T08:00:00.000Z,1
47,E,So,Gold,Mineral,Violet,19.01,3,2020-11-27T08:00:00.000Z,1
48,M,False,Fern,Vegetable,Green,98.83,20,2020-12-21T08:00:00.000Z,1
49,I,No,Algae,Vegetable,Violet,17.24,65,2020-12-07T08:00:00.000Z,1
50,D,Maybe,Grass,Vegetable,Black,8.96,48,2020-11-28T08:00:00.000Z,1
